Field Name,Data Type
STATE_CODE_001,int
STRUCTURE_NUMBER_008,text
ROUTE_PREFIX_005B,int
SERVICE_LEVEL_005C,int
DIRECTION_005E,int
COUNTY_CODE_003,int
PLACE_CODE_004,bigint
FEATURES_DESC_006A,text
FACILITY_CARRIED_007,text
LOCATION_009,text
MIN_VERT_CLR_010,double
LAT_016,bigint
LONG_017,bigint
DETOUR_KILOS_019,int
TOLL_020,int
MAINTENANCE_021,int
FUNCTIONAL_CLASS_026,int
YEAR_BUILT_027,YYYY
TRAFFIC_LANES_ON_028A,int
TRAFFIC_LANES_UND_028B,int
ADT_029,bigint
YEAR_ADT_030,int
DESIGN_LOAD_031,text
APPR_WIDTH_MT_032,double
MEDIAN_CODE_033,int
DEGREES_SKEW_034,double
STRUCTURE_FLARED_035,int
RAILINGS_036A,text
TRANSITIONS_036B,text
APPR_RAIL_036C,text
APPR_RAIL_END_036D,text
HISTORY_037,int
NAVIGATION_038,text
NAV_VERT_CLR_MT_039,double
NAV_HORR_CLR_MT_040,double
OPEN_CLOSED_POSTED_041,text
SERVICE_ON_042A,int
SERVICE_UND_042B,int
STRUCTURE_KIND_043A,int
STRUCTURE_TYPE_043B,int
APPR_KIND_044A,int
APPR_TYPE_044B,int
MAIN_UNIT_SPANS_045,double
APPR_SPANS_046,double
HORR_CLR_MT_047,double
MAX_SPAN_LEN_MT_048,double
STRUCTURE_LEN_MT_049,double
LEFT_CURB_MT_050A,double
RIGHT_CURB_MT_050B,double
ROADWAY_WIDTH_MT_051,double
DECK_WIDTH_MT_052,double
VERT_CLR_OVER_MT_053,double
VERT_CLR_UND_REF_054A,text
VERT_CLR_UND_054B,double
LAT_UND_REF_055A,text
LAT_UND_MT_055B,double
LEFT_LAT_UND_MT_056,double
DECK_COND_058,text
SUPERSTRUCTURE_COND_059,text
SUBSTRUCTURE_COND_060,text
CHANNEL_COND_061,text
CULVERT_COND_062,text
OPR_RATING_METH_063,text
OPERATING_RATING_064,double
INV_RATING_METH_065,text
INVENTORY_RATING_066,double
STRUCTURAL_EVAL_067,text
DECK_GEOMETRY_EVAL_068,text
UNDCLRENCE_EVAL_069,text
POSTING_EVAL_070,int
WATERWAY_EVAL_071,text
APPR_ROAD_EVAL_072,int
WORK_PROPOSED_075A,int
WORK_DONE_BY_075B,int
IMP_LEN_MT_076,double
DATE_OF_INSPECT_090,MMYY/MYY
INSPECT_FREQ_MONTHS_091,int
FRACTURE_092A,text
UNDWATER_LOOK_SEE_092B,text
SPEC_INSPECT_092C,text
FRACTURE_LAST_DATE_093A,MMYY/MYY
UNDWATER_LAST_DATE_093B,MMYY/MYY
SPEC_LAST_DATE_093C,MMYY/MYY
BRIDGE_IMP_COST_094,bigint
ROADWAY_IMP_COST_095,bigint
TOTAL_IMP_COST_096,bigint
YEAR_OF_IMP_097,YYYY
OTHER_STATE_CODE_098A,text
OTHER_STATE_PCNT_098B,double
STRAHNET_HIGHWAY_100,int
PARALLEL_STRUCTURE_101,text
TRAFFIC_DIRECTION_102,int
TEMP_STRUCTURE_103,text
HIGHWAY_SYSTEM_104,int
FEDERAL_LANDS_105,int
YEAR_RECONSTRUCTED_106,int
DECK_STRUCTURE_TYPE_107,text
SURFACE_TYPE_108A,text
MEMBRANE_TYPE_108B,text
DECK_PROTECTION_108C,text
PERCENT_ADT_TRUCK_109,double
NATIONAL_NETWORK_110,int
PIER_PROTECTION_111,int
SCOUR_CRITICAL_113,text
FUTURE_ADT_114,bigint
YEAR_OF_FUTURE_ADT_115,YYYY
MIN_NAV_CLR_MT_116,double
BRIDGE_CONDITION,text
LOWEST_RATING,int
DECK_AREA,double
