Lat 016,Long 017,State Abbv,Structure Number 008
36.57286944,-75.25846944,VA,51_        1VA0174
36.42252778,-77.44188889,MD,24_200000F-F-25010
36.58789722,-78.73811389,MD,24_200000A-0084010
34.87,-76.91775278,DC,11_0132
36.60576389,-77.72560278,MD,24_100000210119014
35.26649722,-76.53559444,MD,24_200000BC8035010
35.45959167,-75.87055,MD,24_100000070025010
37.466175,-76.54553611,MD,24_200000BC6525010
38,-75,MD,24_200000S-0001010
38,-75,MD,24_200000S-0007010
38,-75,MD,24_200000WOOP03010
38,-75,MD,24_100000220026010
39.25454444,-74.210875,NJ,34_        370841N
39.32969167,-74.10198889,MD,24_200000B-0162010
39,-75,MD,24_200000CE0119020
39.08694444,-75.24305556,PA,42_000000000053314
39.55666667,-74,NJ,34_        360490N
39.55666667,-74,NJ,34_        360490S
39,-75,MD,24_100000070048010
39,-75.421,NJ,34_        M003930
39.34833889,-75.99908889,NJ,34_        0609150
39.2646,-75.4637,MD,24_200000CE0117010
39.4248,-75.5012,MD,24_300000CENR02010
39,-75,MD,24_100000140018010
39.15861667,-82.598125,NC,37_000000001750009
41.19,-65.509,WY,56_020602000001022
45.585,-77.46361111,NC,37_000000001470504
46.16360278,-69.56101111,MT,30_011102000013503
31.9525,-89.9894,AL,01_003472
33.52,-89.83333333,AL,01_021146
32.04915833,-76.99227778,VA,51_000000000030319
31.31935,-76.61105,MD,24_200000BC8028010
33.5,-80.465,NC,37_000000001230272
32.99256111,-81.2329,GA,13_DAPFORSTE0BRG78
32.29536111,-84.5837,AL,01_0000000000M0022
36.13669722,-82.73831389,NC,37_081107000003114
32.99111111,-85.07191667,AL,01_010760
33.7127,-85.073,AL,01_020435
33.34527778,-88.43,AL,01_019007
30.4725,-91.50144,AL,01_021191
31.54943056,-91.1355,LA,22_583031330920821
36.56087222,-87.90594722,KY,21_086000000003018
39.33501944,-94.5457,KS,20_DAPTRALEA0B5VB1
35.60146667,-102.1207,NM,35_0000M20704B0001
39.344,-94.5448,KS,20_DAPTRALEA000BC1
39.281475,-111.0509417,CO,08_LAKE-09-1.7-4A
38.5933,-115.64,NJ,34_        M10015N
46.31833333,-117.6633333,OR,41_000013271-TMP01
46.41796667,-121.7690972,OR,41_060606000014694
45.78946944,-88.97627222,MI,26_000000000013567
52.43996,-100.8208,ND,38_000000005130211
50,-97.56262222,KS,20_000150795603700
35.65952778,-87.58506944,AL,01_021014
35.31369722,-87.12355278,AL,01_020919
40.52801944,-75.35458889,NJ,34_        1203155
41.72266389,-71.4922,CT,09_ 04996
41.66205,-71.554,CT,09_ 00296
41.83634444,-71.521,CT,09_ 04698
38.5444,-77.05630833,DC,11_0027
40,-76,MD,24_200000B-0398030
40.183775,-76.114125,MD,24_200000CE0009020
40.19259444,-76.15280278,MD,24_200000CE0082030
40,-76,MD,24_200000H-0048010
40.175075,-76.19310278,MD,24_200000CE0008010
40.10520833,-76.25542222,MD,24_200000CE0003010
40.05161944,-76.37670556,MD,24_200000H-0159010
39,-79,MD,24_200000A-0012010
38.70825278,-77.3588,MD,24_200000CH0014030
39,-77.38996944,MD,24_100000100085010
39,-77.47430278,MD,24_100000160083010
39,-77.641625,MD,24_200000W-2521010
