Column Name,Keep? (Y/N)
STATION,Y
NAME,Y
LATITUDE,Y
LONGITUDE,Y
ELEVATION,Y
DATE,Y
CLDD,Y
CLDD_ATTRIBUTES,N
HTDD,Y
HTDD_ATTRIBUTES,N
DX32,N
DX32_ATTRIBUTES,N
DX70,N
DX70_ATTRIBUTES,N
DX90,N
DX90_ATTRIBUTES,N
DT00,N
DT00_ATTRIBUTES,N
DT32,N
DT32_ATTRIBUTES,N
DP01,N
DP01_ATTRIBUTES,N
DP05,N
DP05_ATTRIBUTES,N
DP10,N
DP10_ATTRIBUTES,N
EMXP,Y
EMXP_ATTRIBUTES,N
EMSD,Y
EMSD_ATTRIBUTES,N
EMSN,Y
EMSN_ATTRIBUTES,N
DSND,Y
DSND_ATTRIBUTES,N
DSNW,Y
DSNW_ATTRIBUTES,N
PRCP,Y
PRCP_ATTRIBUTES,N
SNOW,Y
SNOW_ATTRIBUTES,N
CDSD,N
CDSD_ATTRIBUTES,N
EMXT,Y
EMXT_ATTRIBUTES,N
EMNT,Y
EMNT_ATTRIBUTES,N
HDSD,N
HDSD_ATTRIBUTES,N
TMAX,Y
TMAX_ATTRIBUTES,N
TMIN,Y
TMIN_ATTRIBUTES,N
AWND,Y
AWND_ATTRIBUTES,N
WDF2,N
WDF2_ATTRIBUTES,N
WDF5,N
WDF5_ATTRIBUTES,N
WSF2,N
WSF2_ATTRIBUTES,N
WSF5,N
WSF5_ATTRIBUTES,N
